method,val_threshold,val_IoU,val_F1,test_IoU,test_F1
U-Net v3 @val-tuned,0.45,0.710578,0.830805,0.719059,0.836573
U-Net v3 @0.5,0.50,0.710339,0.830641,0.718734,0.836353
U-Net v2 @val-tuned,0.65,0.711761,0.831612,0.721554,0.838259
U-Net v2 @0.5,0.50,0.705468,0.827302,0.714351,0.833378
logreg C @val-tuned,0.50,0.566448,0.723226,0.612796,0.759918
logreg C @0.5,0.50,0.566448,0.723226,0.612796,0.759918
A VVchange @val-tuned,-4.00,0.575539,0.730593,0.572444,0.728095
B VVflood @val-tuned,-13.00,0.470837,0.640230,0.551768,0.711148
