method,chosen_threshold,val_IoU,test_IoU,test_F1
A_VVchange_delta<t,-4.0,0.5755385213315625,0.5724440398598132,0.7280946416519548
B_VVflood_abs<t,-13.0,0.4708367232372993,0.5517683012060401,0.7111477928465695
C_logreg_4ch,NA(decision=0.5),0.5664489943843619,0.612796380372544,0.759917851788489
