epoch,f1_metric,iou_metric,learning_rate,loss,val_f1_metric,val_iou_metric,val_loss
0,0.8014311790466309,0.6782245635986328,9.999999747378752e-05,0.7652573585510254,0.7484612464904785,0.6491647958755493,0.8382518291473389
1,0.8250231146812439,0.7089322209358215,9.999999747378752e-05,0.6522420048713684,0.73224937915802,0.633136510848999,0.8942839503288269
2,0.8315584063529968,0.718712568283081,9.999999747378752e-05,0.6217580437660217,0.7250807881355286,0.6252681612968445,0.8843502998352051
3,0.8369353413581848,0.7256545424461365,9.999999747378752e-05,0.5974674224853516,0.7418851852416992,0.6470375061035156,0.7321112155914307
4,0.8448621034622192,0.7367767095565796,9.999999747378752e-05,0.572414219379425,0.7436686754226685,0.6448849439620972,0.8026273250579834
5,0.848576545715332,0.7415114045143127,9.999999747378752e-05,0.5540798902511597,0.7423811554908752,0.647520124912262,0.722372829914093
6,0.854641318321228,0.7504307627677917,4.999999873689376e-05,0.5329387784004211,0.7409879565238953,0.645111620426178,0.7369927167892456
7,0.8569135069847107,0.753667950630188,4.999999873689376e-05,0.5216024518013,0.7425827383995056,0.6474952101707458,0.7412039637565613
8,0.8594503402709961,0.7570711374282837,4.999999873689376e-05,0.5133688449859619,0.7383993864059448,0.6424618363380432,0.6978930830955505
9,0.8586955070495605,0.7566530108451843,4.999999873689376e-05,0.5064105987548828,0.7423680424690247,0.6472209692001343,0.6962957978248596
10,0.8610634803771973,0.7598873376846313,4.999999873689376e-05,0.49864163994789124,0.741722583770752,0.647458016872406,0.709248960018158
11,0.8613063097000122,0.7602454423904419,2.499999936844688e-05,0.4958493411540985,0.7415276765823364,0.6473751068115234,0.7158312201499939
12,0.8612474799156189,0.7604206800460815,2.499999936844688e-05,0.4904760718345642,0.7432207465171814,0.6495994329452515,0.7100131511688232
13,0.8629540205001831,0.762216329574585,2.499999936844688e-05,0.4855884909629822,0.7447416186332703,0.6511440277099609,0.6941211223602295
14,0.8623162508010864,0.7618652582168579,2.499999936844688e-05,0.4853931963443756,0.7406607866287231,0.6469159126281738,0.712060809135437
15,0.8633869290351868,0.7633916139602661,2.499999936844688e-05,0.4823962450027466,0.7424643039703369,0.6487171053886414,0.7027016878128052
16,0.8635706305503845,0.7634649276733398,2.499999936844688e-05,0.476004958152771,0.7408559918403625,0.6476128697395325,0.7106356024742126
17,0.8638225793838501,0.7640709280967712,2.499999936844688e-05,0.47596728801727295,0.745006799697876,0.6516029834747314,0.6838076710700989
18,0.8638140559196472,0.7638564705848694,2.499999936844688e-05,0.4740559756755829,0.7398256063461304,0.6455273628234863,0.7281421422958374
19,0.8651940226554871,0.7657776474952698,2.499999936844688e-05,0.4683685004711151,0.7394251823425293,0.6459646224975586,0.6984092593193054
20,0.8621971607208252,0.7617960572242737,2.499999936844688e-05,0.4728175401687622,0.7419324517250061,0.6484857797622681,0.6880999803543091
21,0.8628287315368652,0.762799859046936,2.499999936844688e-05,0.4691091775894165,0.7436930537223816,0.6505582928657532,0.705750048160553
22,0.8652979135513306,0.7660273313522339,2.499999936844688e-05,0.46746036410331726,0.7411307692527771,0.6474702954292297,0.6893603205680847
23,0.8649922013282776,0.7655715346336365,1.249999968422344e-05,0.46422380208969116,0.7400469779968262,0.6462637782096863,0.6966995596885681
24,0.8650820255279541,0.7654570937156677,1.249999968422344e-05,0.46488210558891296,0.7407089471817017,0.6466169357299805,0.6891061067581177
25,0.8650885224342346,0.7661349177360535,1.249999968422344e-05,0.462765634059906,0.7373932600021362,0.6435099840164185,0.7150691747665405
26,0.8659393191337585,0.7672311067581177,1.249999968422344e-05,0.4602588713169098,0.7371050715446472,0.643007755279541,0.7055707573890686
27,0.866560697555542,0.7678722143173218,1.249999968422344e-05,0.45779693126678467,0.7368326187133789,0.6426704525947571,0.6967959403991699
28,0.86541748046875,0.7664437294006348,6.24999984211172e-06,0.4610080420970917,0.7362818121910095,0.6418129205703735,0.7011770606040955
29,0.866947591304779,0.7684043645858765,6.24999984211172e-06,0.4579862654209137,0.7374580502510071,0.6434729099273682,0.7011083960533142
